City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
78,qamdo,28.4384,93.5975,280.81,97,100,0.74,1720403686,China
79,san luis de la loma,17.2506,-100.9139,299.97,82,34,4.55,1720403689,Mexico
80,igarka,67.4368,86.4373,290.06,61,3,3.51,1720403691,Russia
81,lubuklinggau,-3.378,102.7677,300.0,74,44,0.81,1720403694,Indonesia
82,georgetown,33.3172,-79.3232,300.35,60,0,2.06,1720403696,United States
83,talnakh,69.4795,88.3544,290.62,41,8,10.1,1720403699,Russia
84,oriximina,-1.9987,-58.8954,300.1,63,92,0.38,1720403701,Brazil
85,al jawf,28.3679,37.0062,300.67,30,0,1.92,1720403704,Saudi Arabia
86,kununurra,-15.9023,128.6546,301.08,39,58,4.63,1720403706,Australia
87,mbanza kongo,-4.683,18.5615,292.54,36,16,1.42,1720403709,Democratic Republic of the Congo
88,inekar,15.9087,3.1173,302.32,52,88,7.32,1720403711,Mali
89,taksimo,56.3234,114.802,299.81,48,12,1.44,1720403714,Russia
90,stanley,42.6398,-91.8196,295.59,87,90,1.34,1720403716,United States
91,leninskoye,54.4613,69.1572,290.55,78,5,4.29,1720403719,Kazakhstan
92,priob'ye,62.5006,65.5764,293.08,56,17,1.76,1720403721,Russia
93,punta arenas,-54.6577,-74.7493,277.43,63,100,6.29,1720403724,Chile
94,kone,-21.1154,164.7644,296.22,53,100,4.95,1720403726,France
95,kyren,51.6663,102.104,300.66,45,65,0.47,1720403729,Russia
96,yellowknife,62.4081,-114.5182,291.34,82,75,0.0,1720403732,Canada
97,whitehorse,35.7905,-107.7688,301.41,9,1,5.91,1720403734,United States
98,katsuura,34.9177,140.1879,299.54,81,100,11.45,1720403737,Japan
99,lebu,-38.447,-73.9609,283.01,76,0,9.32,1720403739,Chile
100,willowmore,-33.3353,23.4483,276.01,85,100,7.73,1720403742,South Africa
101,pindushi,62.8972,34.5511,288.95,96,77,3.55,1720403744,Russia
102,rikaze,27.212,82.0991,300.5,81,74,4.02,1720403747,China
103,sumberpucung,-8.195,112.4317,299.57,65,88,2.17,1720403749,Indonesia
104,ouellah,-11.4103,43.3119,296.37,73,86,5.03,1720403752,Comoros
105,idri,27.4057,13.0091,299.66,25,0,3.92,1720403754,Libya
106,bilibino,68.0374,166.4045,281.64,90,100,0.18,1720403757,Russia
107,st. john's,17.0785,-61.8849,301.66,71,20,3.6,1720403759,Antigua and Barbuda
108,vernon,38.7942,-89.0981,299.18,77,7,2.09,1720403762,United States
109,iquique,-21.439,-70.2109,287.62,85,92,4.11,1720403764,Chile
110,nha trang,12.1429,109.1129,301.61,70,20,1.54,1720403767,Vietnam
111,tazovsky,67.4504,78.6189,286.05,62,0,6.17,1720403769,Russia
112,mendoza,-37.5751,-70.5836,266.87,72,1,0.76,1720403772,Argentina
